"Perception_inherit_scaled","Perception_bequeath_scaled","Perception_beauty_scaled","Perception_works_of_art_scaled","Perception_unique_scaled","Perpception_collectable_scaled","TreatmentGroup","Inherited_Ivory_DirectQ","Received_Ivory_Gift_DirectQ","Given_Ivory_Gift_DirectQ","log_UCT_own_products","log_UCT_own_art","UCT_Own_Products_score","UCT_Own_Art_score","UCT_GiftReceiving_Acc_score","UCT_GiftReceiving_Art_score","UCT_GiftGiving_Acc_score","UCT_GiftGiving_Art_score","UCT_Inheriting_Art_score","UCT_Inheriting_Acc_score","log_UCT_gift_receive_art","log_UCT_gift_receive_acc","log_UCT_gift_give_acc","log_UCT_gift_give_art","log_UCT_inherit_acc","log_UCT_inherit_art","Age_mid","Income_mid","IV_LocationProvince","IV_Gender","IV_CulturalSignificance","IV_SocialStatusPC","IV_GenderNormsPC","IV_SocialExpectationsPC","ModV_Legal","ModV_Environmental","Env_1","Env_2","Legal_1","Legal_2"
-1.13820394623126,-0.532587305774494,-2.33453488896814,-1.96802581030074,-1.57606632411961,-1.42769588054652,"1",2,2,2,1.09861228866811,1.38629436111989,3,4,4,1,1,1,1,1,0,1.38629436111989,0,0,0,0,1.76360936596931,-0.399083991841475,1,2,-0.809916914297489,-1.02487203871599,-0.994297194810724,-2.20254716587744,0.823153084978124,0.433789838986653,6,7,7,7
1.25249081788153,1.60401538862416,0.712966717237085,1.15703453913111,0.0836610548762125,1.32925264537696,"0",2,2,2,1.09861228866811,0.693147180559945,3,2,2,2,2,1,1,1,0.693147180559945,0.693147180559945,0.693147180559945,0,0,0,0.310649835270808,1.5366954344039,1,1,0.41181205870461,0.881027328848445,0.0013984951532958,0.319408276703602,-0.525379539586464,-0.0691904607433459,6,6,6,5
-0.540530255203063,-0.532587305774494,-1.11553424648605,-0.92633902715679,-1.02282386445434,-0.876306175361825,"0",2,2,2,1.38629436111989,0.693147180559945,4,2,3,1,3,2,1,1,0,1.09861228866811,1.09861228866811,0.693147180559945,0,0,0.310649835270808,-0.399083991841475,1,1,-1.11534915754801,-0.500171634488897,0.196173400096523,0.653968717117066,0.373642210123262,-0.0691904607433459,6,6,6,7
-0.540530255203063,-1.06673797937416,-0.506033925245003,0.115347755987159,-1.02282386445434,0.226473235007568,"0",2,2,2,0,0,1,1,2,1,3,1,2,1,0,0.693147180559945,1.09861228866811,0,0,0.693147180559945,0.310649835270808,1.5366954344039,1,1,-0.809916914297489,-0.165650045508149,0.164099084818986,-0.118548547972778,-0.525379539586464,0.433789838986653,7,6,5,6
0.0571434358251351,-1.06673797937416,0.103466395996041,1.15703453913111,0.636903514541488,1.32925264537696,"0",2,2,2,1.09861228866811,1.09861228866811,3,3,2,2,2,3,2,2,0.693147180559945,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,0.310649835270808,0.0310892139908302,1,1,0.41181205870461,-0.599173639669754,-0.184278753761443,0.978649213437305,0.373642210123262,0.936770138716653,7,7,7,6
-1.13820394623126,-1.06673797937416,-0.506033925245003,-1.44718241872876,-1.02282386445434,-0.324916470177128,"0",2,2,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1.76360936596931,-1.04434380058993,1,2,-1.42078140079854,0.057931775605596,0.122792411076584,0.753096486579816,0.823153084978124,0.433789838986653,6,7,7,7
-0.540530255203063,-1.06673797937416,1.32246703847813,0.636191147559134,1.19014597420676,0.226473235007568,"0",2,2,2,0,0,1,1,2,1,2,1,1,2,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.310649835270808,3.25738825773312,1,1,0.106379815454085,-0.460835292626418,1.48003322267614,0.23842554144605,0.823153084978124,0.433789838986653,6,7,7,7
-0.540530255203063,-1.06673797937416,0.712966717237085,0.115347755987159,1.19014597420676,0.777862940192265,"1",2,2,2,1.38629436111989,1.38629436111989,4,4,2,2,3,3,1,3,0.693147180559945,0.693147180559945,1.09861228866811,1.09861228866811,1.09861228866811,0,0.310649835270808,0.676349022739289,1,1,0.41181205870461,0.251592668583459,-0.365051314579211,0.873123786710107,0.823153084978124,0.936770138716653,7,7,7,7
1.25249081788153,1.60401538862416,0.103466395996041,1.15703453913111,0.636903514541488,1.32925264537696,"0",2,2,2,1.09861228866811,0,3,1,4,1,2,1,1,2,0,1.38629436111989,0.693147180559945,0,0.693147180559945,0,0.310649835270808,0.676349022739289,1,2,0.41181205870461,0.645534739865267,0.0013984951532958,0.639998397701666,-0.525379539586464,0.433789838986653,7,6,6,5
-1.13820394623126,-1.06673797937416,-2.33453488896814,-1.96802581030074,-2.12930878378489,-1.97908558573122,"0",2,2,2,0,0,1,1,2,1,1,1,1,1,0,0.693147180559945,0,0,0,0,0.310649835270808,-0.399083991841475,1,2,-1.11534915754801,-1.48151830719863,-0.291670325559272,0.537190292841239,0.823153084978124,0.936770138716653,7,7,7,7
0.0571434358251351,-0.532587305774494,-1.11553424648605,-1.96802581030074,0.0836610548762125,-1.97908558573122,"1",2,2,2,0,0.693147180559945,1,2,1,2,2,2,2,2,0.693147180559945,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,-0.706421836218147,-0.399083991841475,1,2,-1.11534915754801,0.302442287060437,-0.454370915224962,0.553404333151054,-1.87391216415105,-0.572170760473345,5,6,1,7
